dataset,sigma_enc,guidance_scale,reconstruction_fid,generation_fid,precision,recall
celeba64,0.05,2.0,9.05541706085205,37.6762809753418,0.6638,0.2356
celeba64,0.15,2.0,9.757869720458984,41.1043815612793,0.648,0.2082
celeba64,0.3,2.0,17.1616268157959,55.21261596679688,0.5932,0.1032
cifar10,0.05,2.0,17.52773666381836,48.71086883544922,0.861,0.0896
cifar10,0.15,2.0,19.557994842529297,51.613853454589844,0.867,0.0902
cifar10,0.3,2.0,27.846662521362305,58.155540466308594,0.8588,0.0734
pathmnist,0.05,2.0,7.142641544342041,29.877351760864254,0.8324,0.2946
pathmnist,0.15,2.0,7.363591194152832,29.349973678588867,0.8256,0.2952
pathmnist,0.3,2.0,12.26553726196289,34.334808349609375,0.838,0.2656
