dataset,sigma_enc,seed,sampling_seed,guidance_scale,prior_final_loss,reconstruction_mse,reconstruction_psnr,reconstruction_fid,reconstruction_kid_mean,reconstruction_kid_std,reconstruction_metric_samples,reconstruction_feature_precision,reconstruction_feature_recall,reconstruction_pr_samples,reconstruction_pr_nearest_k,fid,kid_mean,kid_std,metric_samples,feature_precision,feature_recall,pr_samples,pr_nearest_k
celeba64,0.05,0,100000,1.0,0.04062369029618736,0.0016681787808736166,33.79817398631666,9.05541706085205,0.007937001995742321,0.0005998428678140044,5000.0,1.0,0.9998,5000.0,5.0,38.146324157714844,0.035636093467473984,0.0017670424422249198,5000.0,0.6574,0.252,5000.0,5.0
celeba64,0.05,0,100000,1.5,0.04062369029618736,0.0016681787808736166,33.79817398631666,9.05541706085205,0.007937001995742321,0.0005998428678140044,5000.0,1.0,0.9998,5000.0,5.0,37.87523651123047,0.034894801676273346,0.0015796303050592542,5000.0,0.6592,0.2438,5000.0,5.0
celeba64,0.05,0,100000,2.0,0.04062369029618736,0.0016681787808736166,33.79817398631666,9.05541706085205,0.007937001995742321,0.0005998428678140044,5000.0,1.0,0.9998,5000.0,5.0,37.6762809753418,0.03405914455652237,0.001458586542867124,5000.0,0.6638,0.2356,5000.0,5.0
celeba64,0.15,0,100000,1.0,0.04244860114418288,0.0025503192539016407,31.954654416668717,9.757869720458984,0.007987690158188343,0.00035922127426601946,5000.0,0.9998,0.9996,5000.0,5.0,41.13081359863281,0.03926434740424156,0.0018409246113151312,5000.0,0.6376,0.214,5000.0,5.0
celeba64,0.15,0,100000,1.5,0.04244860114418288,0.0025503192539016407,31.954654416668717,9.757869720458984,0.007987690158188343,0.00035922127426601946,5000.0,0.9998,0.9996,5000.0,5.0,41.151214599609375,0.03904848173260689,0.0017910189926624298,5000.0,0.6424,0.2154,5000.0,5.0
celeba64,0.15,0,100000,2.0,0.04244860114418288,0.0025503192539016407,31.954654416668717,9.757869720458984,0.007987690158188343,0.00035922127426601946,5000.0,0.9998,0.9996,5000.0,5.0,41.1043815612793,0.03858199343085289,0.0014999276027083397,5000.0,0.648,0.2082,5000.0,5.0
celeba64,0.3,0,100000,1.0,0.04738441195625525,0.005672963752349218,28.48249982698041,17.1616268157959,0.014773989096283913,0.00045668185339309275,5000.0,0.9916,0.9944,5000.0,5.0,55.6683464050293,0.05797581747174263,0.002497091656550765,5000.0,0.5836,0.1088,5000.0,5.0
celeba64,0.3,0,100000,1.5,0.04738441195625525,0.005672963752349218,28.48249982698041,17.1616268157959,0.014773989096283913,0.00045668185339309275,5000.0,0.9916,0.9944,5000.0,5.0,55.4423942565918,0.05718712881207466,0.0025082267820835114,5000.0,0.5892,0.1082,5000.0,5.0
celeba64,0.3,0,100000,2.0,0.04738441195625525,0.005672963752349218,28.48249982698041,17.1616268157959,0.014773989096283913,0.00045668185339309275,5000.0,0.9916,0.9944,5000.0,5.0,55.212615966796875,0.05641970783472061,0.00251955958083272,5000.0,0.5932,0.1032,5000.0,5.0
