latent_variant,mse,psnr,ssim,fid,precision,recall
posterior_mean,0.0026741409674286842,31.748756939507125,0.9477400183677673,16.904767990112305,0.9966,0.9884
posterior_sample,0.002675451571121812,31.746628971968764,0.9476993083953857,16.897598266601562,0.9966,0.9886
class_mean_radius_direction,0.0124221071600914,25.078647199335133,0.867587685585022,22.463333129882812,0.9904,0.9660
unit_radius_direction,0.12436690181493759,15.073551758583106,0.3543343245983124,112.99998474121094,0.8508,0.0002
