dataset,sigma_enc,seed,sampling_seed,guidance_scale,prior_final_loss,reconstruction_mse,reconstruction_psnr,reconstruction_fid,reconstruction_kid_mean,reconstruction_kid_std,reconstruction_metric_samples,reconstruction_feature_precision,reconstruction_feature_recall,reconstruction_pr_samples,reconstruction_pr_nearest_k,fid,kid_mean,kid_std,metric_samples,feature_precision,feature_recall,pr_samples,pr_nearest_k
pathmnist,0.05,0,100000,1.0,0.059363914921265,0.0010001036439711,36.02014981655644,7.142641544342041,0.0036919116973876,0.0002523300354368,5000.0,0.9918,0.9752,5000.0,5.0,28.91118812561035,0.0131193231791257,0.0018005325691774,7180.0,0.8312,0.352,5000.0,5.0
pathmnist,0.05,0,100000,1.5,0.059363914921265,0.0010001036439711,36.02014981655644,7.142641544342041,0.0036919116973876,0.0002523300354368,5000.0,0.9918,0.9752,5000.0,5.0,28.92097282409668,0.010375602170825,0.0015545083442702,7180.0,0.8398,0.3212,5000.0,5.0
pathmnist,0.05,0,100000,2.0,0.059363914921265,0.0010001036439711,36.02014981655644,7.142641544342041,0.0036919116973876,0.0002523300354368,5000.0,0.9918,0.9752,5000.0,5.0,29.877351760864254,0.0094729159027338,0.0012620760826393,7180.0,0.8324,0.2946,5000.0,5.0
pathmnist,0.15,0,100000,1.0,0.0601462010045139,0.0013711995996534,34.64959313548948,7.363591194152832,0.0032095431815832,0.0006331177428364,5000.0,0.9904,0.9718,5000.0,5.0,29.161117553710938,0.0141062065958976,0.001846456550993,7180.0,0.831,0.3532,5000.0,5.0
pathmnist,0.15,0,100000,1.5,0.0601462010045139,0.0013711995996534,34.64959313548948,7.363591194152832,0.0032095431815832,0.0006331177428364,5000.0,0.9904,0.9718,5000.0,5.0,28.167585372924805,0.0109172211959958,0.0014252929249778,7180.0,0.838,0.333,5000.0,5.0
pathmnist,0.15,0,100000,2.0,0.0601462010045139,0.0013711995996534,34.64959313548948,7.363591194152832,0.0032095431815832,0.0006331177428364,5000.0,0.9904,0.9718,5000.0,5.0,29.349973678588867,0.0098365722224116,0.0011485293507575,7180.0,0.8256,0.2952,5000.0,5.0
pathmnist,0.3,0,100000,1.0,0.0625895335528453,0.0027117309776445,31.688133889941884,12.26553726196289,0.004812812898308,0.0010978325735777,5000.0,0.9722,0.9168,5000.0,5.0,37.16826629638672,0.019692625850439,0.0022446129005402,7180.0,0.8232,0.2884,5000.0,5.0
pathmnist,0.3,0,100000,1.5,0.0625895335528453,0.0027117309776445,31.688133889941884,12.26553726196289,0.004812812898308,0.0010978325735777,5000.0,0.9722,0.9168,5000.0,5.0,34.611507415771484,0.0155662819743156,0.0017707609804347,7180.0,0.8312,0.2888,5000.0,5.0
pathmnist,0.3,0,100000,2.0,0.0625895335528453,0.0027117309776445,31.688133889941884,12.26553726196289,0.004812812898308,0.0010978325735777,5000.0,0.9722,0.9168,5000.0,5.0,34.334808349609375,0.0138371679931879,0.0014419456711038,7180.0,0.838,0.2656,5000.0,5.0
